title,url,weight,Processor manufacturer,Processor model,Processor series,min hertz, max hertz,cach mem,RAM,internal storage,internal_storage_hdd,internal storage type,GPU manufacturer,GPU model,GPU memory,screen size,screen refresh rate,battery,price
لپ تاپ 15.6 اینچی لنوو مدل Ideapad 1-Celeron N4020 4GB 256SSD,https://www.digikala.com/product/dkp-12537925/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-156-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D9%84%D9%86%D9%88%D9%88-%D9%85%D8%AF%D9%84-ideapad-1-celeron-4gb-256ssd/,1.5,Intel,N4020,Celeron,1.1,2.8,4,DDR4 ,256,0,SSD ,Intel ,UHD Graphics ,0,15.6,60,51.44,10999000
لپ تاپ 15.6 اینچی لنوو مدل IdeaPad Slim 3 15IRU8-i3 1305U 8GB 256SSD,https://www.digikala.com/product/dkp-12406821/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-156-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D9%84%D9%86%D9%88%D9%88-%D9%85%D8%AF%D9%84-ideapad-slim-3-15iru8-i3-1305u-8gb-256ssd/,1.62,Intel,1305U,Core i3,1.6,4.5,10,LPDDR5 ,256,0,SSD ,Intel ,UHD Graphics ,0,15.6,250,47,18700000
لپ تاپ 15.6 اینچی لنوو مدل V15 G4 AMN-Athlon Silver 7120U 8GB 256SSD,https://www.digikala.com/product/dkp-12116861/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-156-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D9%84%D9%86%D9%88%D9%88-%D9%85%D8%AF%D9%84-v15-g4-amn-athlon-silver-7120u-8gb-256ssd/,1.6,AMD,Silver 7120U,ATHLON,2.4,3.5,2,LPDDR5 ,256,0,SSD ,AMD ,Radeon 610M ,0,15.6,250,35,14400000
لپ تاپ 15.6 اینچی لنوو مدل IdeaPad Slim 3 15IRH8-i5 13420H 8GB 512SSD,https://www.digikala.com/product/dkp-13278622/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-156-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D9%84%D9%86%D9%88%D9%88-%D9%85%D8%AF%D9%84-ideapad-slim-3-15irh8-i5-13420h-8gb-512ssd/,1.62,Intel,13420H,Core i5,2.1,4.6,12,LPDDR5 ,512,0,SSD ,Intel ,UHD Graphics ,0,15.6,60,47,26090000
لپ تاپ 13.3 اینچی اپل مدل MacBook Air MGN63 2020-M1 8GB 256SSD,https://www.digikala.com/product/dkp-11891979/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-133-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D8%A7%D9%BE%D9%84-%D9%85%D8%AF%D9%84-macbook-air-mgn63-2020-m1-8gb-256ssd/,1.29,Apple,Apple M1,M1,2.06,3.22,12,Unified ,256,0,SSD ,Apple ,7core Apple-designed integrated GPU ,0,13.3,16,49.9,48059000
لپ تاپ 15.6 اینچی لنوو مدل IdeaPad 5 15IAL7-i7 1255U 16GB 512SSD MX550,https://www.digikala.com/product/dkp-10988149/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-156-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D9%84%D9%86%D9%88%D9%88-%D9%85%D8%AF%D9%84-ideapad-5-15ial7-i7-1255u-16gb-512ssd-mx550/,1.85,Intel,1255U,Core i7,2.1,4.1,12,DDR4 ,512,0,SSD ,NVIDIA ,GeForce MX550 ,2,15.6,60,76,35500000
لپ تاپ 15.6 اینچی ایسوس مدل Vivobook 15 F1504VA-NJ826-i7 1355U 16GB 512SSD,https://www.digikala.com/product/dkp-15108740/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-156-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D8%A7%DB%8C%D8%B3%D9%88%D8%B3-%D9%85%D8%AF%D9%84-vivobook-15-f1504va-nj826-i7-1355u-16gb-512ssd-%DA%A9%D8%A7%D8%B3%D8%AA%D9%88%D9%85-%D8%B4%D8%AF%D9%87-clone-1-of-15107720/,1.7,Intel,1355U,Core i7,1.7,5,12,DDR4 ,512,0,SSD ,Intel ,Iris Xe ,0,15.6,60,42,35689000
لپ تاپ 15.6 اینچی ایسوس مدل Vivobook 15 X515MA-BR001W-Celeron N4020 8GB 512SSD - کاستوم شده,https://www.digikala.com/product/dkp-15058862/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-156-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D8%A7%DB%8C%D8%B3%D9%88%D8%B3-%D9%85%D8%AF%D9%84-vivobook-15-x515ma-br001w-celeron-n4020-8gb-512ssd-%DA%A9%D8%A7%D8%B3%D8%AA%D9%88%D9%85-%D8%B4%D8%AF%D9%87/,1.8,Intel,N4020,Celeron,1.1,2.8,4,DDR4 ,512,0,SSD ,Intel ,UHD Graphics ,0,15.6,60,37,14400000
لپ تاپ 15.6 اینچی ایسوس مدل Vivobook X1504ZA-NJ061-i5 1235U 8GB 512SSD,https://www.digikala.com/product/dkp-15062540/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-156-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D8%A7%DB%8C%D8%B3%D9%88%D8%B3-%D9%85%D8%AF%D9%84-vivobook-x1504za-nj672-i5-1235u-8gb-512ssd-clone-1-of-14672554/,1.7,Intel,1235U,Core i5,1.3,4.4,12,DDR4 ,512,0,SSD ,Intel ,Iris Xe ,0,15.6,60,42,26600000
لپ تاپ 15.6 اینچی لنوو مدل IdeaPad Slim 3 15IRH8-i7 13620H 16GB 512SSD,https://www.digikala.com/product/dkp-14320248/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-156-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D9%84%D9%86%D9%88%D9%88-%D9%85%D8%AF%D9%84-ideapad-slim-3-15irh8-i7-13620h-16gb-512ssd-w/,1.62,Intel,13620H,Core i7,1.8,4.9,24,LPDDR5 ,512,0,SSD ,Intel ,UHD Graphics ,0,15.6,60,47,32499000
